EquationName,DataSourceFile,DataTargetFile,EquationString,Degree,Lambda,Alpha,MaxInteractions,Runtime,Successful,RMSE_Training,RMSE_Test,RMSE_Full
FeynmanICh6Eq20,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_data\FeynmanICh6Eq20\FeynmanICh6Eq20_sample_size100_noise_level0_repetition3.csv,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_results\individual\FeynmanICh6Eq20_sample_size100_noise_level0_repetition3_d4_i2_l1_a0.csv,0.12086655061214685 + -0.047212733067832274 * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.05039887342711441 * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.04333697900095655 * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + 0.028240597026588418 * (((x1 * 0.20202020202020202) -1.02020202020202)**4) + -0.0001443157882666051 * ((x0 * 0.1) +0) + -0.005201391440092437 * ((x0 * 0.1) +0) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.006137058142354075 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.002447155402922137 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + -0.10999587134391221 * (((x0 * 0.1) +0)**2) + 0.13814184775239 * (((x0 * 0.1) +0)**2) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.18984055299366168 * (((x0 * 0.1) +0)**2) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.009175131826538103 * (((x0 * 0.1) +0)**3) + -0.024800619372613505 * (((x0 * 0.1) +0)**3) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.014636182510455075 * (((x0 * 0.1) +0)**4),4,1,0,2,526,True,0.2860275644648401,0.07386578017062932,0.07438032545663142
FeynmanICh6Eq20,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_data\FeynmanICh6Eq20\FeynmanICh6Eq20_sample_size100_noise_level0_repetition8.csv,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_results\individual\FeynmanICh6Eq20_sample_size100_noise_level0_repetition8_d4_i2_l1_a0.csv,0.09617354828945443 + -0.04041538568893227 * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.06724602259242042 * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.06692963628199251 * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + 0.0789032568260513 * (((x1 * 0.20202020202020202) -1.02020202020202)**4) + 0.0012644832082791694 * ((x0 * 0.1) +0) + -0.0015798701964673321 * ((x0 * 0.1) +0) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.007111615191041319 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.009613248993721074 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + -0.14601948074268797 * (((x0 * 0.1) +0)**2) + 0.2252415155616153 * (((x0 * 0.1) +0)**2) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.3212964562458524 * (((x0 * 0.1) +0)**2) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.04002928351884236 * (((x0 * 0.1) +0)**3) + -0.05819045668261001 * (((x0 * 0.1) +0)**3) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.027278987494240594 * (((x0 * 0.1) +0)**4),4,1,0,2,380,True,0.3063729835612463,0.07858695041817028,0.07914233804616072
FeynmanICh6Eq20,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_data\FeynmanICh6Eq20\FeynmanICh6Eq20_sample_size100_noise_level0_repetition5.csv,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_results\individual\FeynmanICh6Eq20_sample_size100_noise_level0_repetition5_d4_i2_l1_a0.csv,0.1045741340138022 + -0.041116828719464794 * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.05767781232309074 * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.051144578644839254 * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + 0.05242098104210419 * (((x1 * 0.20202020202020202) -1.02020202020202)**4) + -0.002049164276440818 * ((x0 * 0.1) +0) + 0.0012540667684620165 * ((x0 * 0.1) +0) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.0038391837669279924 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.0034242376220878553 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + -0.1192818399097665 * (((x0 * 0.1) +0)**2) + 0.15344855676542415 * (((x0 * 0.1) +0)**2) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.25505949178309445 * (((x0 * 0.1) +0)**2) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.01745771724144208 * (((x0 * 0.1) +0)**3) + -0.019128838206827217 * (((x0 * 0.1) +0)**3) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.030768620295871928 * (((x0 * 0.1) +0)**4),4,1,0,2,313,True,0.2644933809568929,0.0686824157872565,0.06915524953613571
FeynmanICh6Eq20,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_data\FeynmanICh6Eq20\FeynmanICh6Eq20_sample_size100_noise_level0_repetition1.csv,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_results\individual\FeynmanICh6Eq20_sample_size100_noise_level0_repetition1_d4_i2_l1_a0.csv,0.09846365301972003 + -0.04894586357148912 * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.06891802499961953 * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.07504310049592955 * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + 0.08592496004699374 * (((x1 * 0.20202020202020202) -1.02020202020202)**4) + -0.0018499761049526587 * ((x0 * 0.1) +0) + 0.001917375769584761 * ((x0 * 0.1) +0) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.005515053410496624 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.00924207758025481 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + -0.12415030539831051 * (((x0 * 0.1) +0)**2) + 0.1830046920043671 * (((x0 * 0.1) +0)**2) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.2418410627875862 * (((x0 * 0.1) +0)**2) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.016604966874488546 * (((x0 * 0.1) +0)**3) + 0.01637702873977097 * (((x0 * 0.1) +0)**3) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.009242808781959365 * (((x0 * 0.1) +0)**4),4,1,0,2,411,True,0.28849326121335706,0.07652646904952225,0.07702983338759908
FeynmanICh6Eq20,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_data\FeynmanICh6Eq20\FeynmanICh6Eq20_sample_size100_noise_level0_repetition0.csv,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_results\individual\FeynmanICh6Eq20_sample_size100_noise_level0_repetition0_d4_i2_l1_a0.csv,0.11422337166967447 + -0.053102369878184265 * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.06399000116188408 * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.05995269097242249 * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + 0.056517677679375614 * (((x1 * 0.20202020202020202) -1.02020202020202)**4) + 0.0031110607245915596 * ((x0 * 0.1) +0) + -0.0031426756335295857 * ((x0 * 0.1) +0) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.00513426639633348 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.001485076888489433 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + -0.17082493265206988 * (((x0 * 0.1) +0)**2) + 0.20908630596553596 * (((x0 * 0.1) +0)**2) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.2638207625618969 * (((x0 * 0.1) +0)**2) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.00490401935656609 * (((x0 * 0.1) +0)**3) + 0.00017906568774910924 * (((x0 * 0.1) +0)**3) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.03570390325512622 * (((x0 * 0.1) +0)**4),4,1,0,2,670,True,0.24338182385158344,0.07650108096152589,0.07684884095487152
FeynmanICh6Eq20,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_data\FeynmanICh6Eq20\FeynmanICh6Eq20_sample_size100_noise_level0_repetition7.csv,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_results\individual\FeynmanICh6Eq20_sample_size100_noise_level0_repetition7_d4_i2_l1_a0.csv,0.10991437343481154 + -0.03969276828683406 * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.039545468236896246 * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.03685560596549128 * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + 0.019923499698035578 * (((x1 * 0.20202020202020202) -1.02020202020202)**4) + 0.0017201072236690052 * ((x0 * 0.1) +0) + -0.0016131783144371595 * ((x0 * 0.1) +0) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.0008332608524641647 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.0015420455195466396 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + -0.08678297323408654 * (((x0 * 0.1) +0)**2) + 0.09583732790670046 * (((x0 * 0.1) +0)**2) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.1331838500037258 * (((x0 * 0.1) +0)**2) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.006279297113790351 * (((x0 * 0.1) +0)**3) + -0.005962620166743602 * (((x0 * 0.1) +0)**3) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.01660836344673902 * (((x0 * 0.1) +0)**4),4,1,0,2,207,True,0.2214348184936336,0.06676798870492527,0.06710063486542416
FeynmanICh6Eq20,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_data\FeynmanICh6Eq20\FeynmanICh6Eq20_sample_size100_noise_level0_repetition2.csv,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_results\individual\FeynmanICh6Eq20_sample_size100_noise_level0_repetition2_d4_i2_l1_a0.csv,0.10521013969142834 + -0.04495293622177018 * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.0635190835881653 * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.059466799715629334 * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + 0.06506266503942927 * (((x1 * 0.20202020202020202) -1.02020202020202)**4) + 0.0017661804556924187 * ((x0 * 0.1) +0) + -0.002331887569361947 * ((x0 * 0.1) +0) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.003425930154540583 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -2.361874686250937E-05 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + -0.08849422628920955 * (((x0 * 0.1) +0)**2) + 0.11626510445646313 * (((x0 * 0.1) +0)**2) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.172968745289765 * (((x0 * 0.1) +0)**2) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.0077299699135605525 * (((x0 * 0.1) +0)**3) + -0.01569303154893347 * (((x0 * 0.1) +0)**3) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.014358353026826693 * (((x0 * 0.1) +0)**4),4,1,0,2,281,True,0.31746778177245316,0.07788241799492648,0.07848755652121726
FeynmanICh6Eq20,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_data\FeynmanICh6Eq20\FeynmanICh6Eq20_sample_size100_noise_level0_repetition4.csv,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_results\individual\FeynmanICh6Eq20_sample_size100_noise_level0_repetition4_d4_i2_l1_a0.csv,0.12434130956752827 + -0.057107081535538416 * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.06510974109197766 * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.06051284622792579 * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + 0.056077077956721566 * (((x1 * 0.20202020202020202) -1.02020202020202)**4) + 6.295597109968437E-05 * ((x0 * 0.1) +0) + -0.006388065408732677 * ((x0 * 0.1) +0) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.005452208408083092 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.006533868463147567 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + -0.1564516739358233 * (((x0 * 0.1) +0)**2) + 0.2766475691073655 * (((x0 * 0.1) +0)**2) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.49242284803670916 * (((x0 * 0.1) +0)**2) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.06059193985683754 * (((x0 * 0.1) +0)**3) + -0.18343316026816212 * (((x0 * 0.1) +0)**3) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.032765383591375666 * (((x0 * 0.1) +0)**4),4,1,0,2,384,True,0.3874890197065799,0.10757369708032122,0.10821523694201048
FeynmanICh6Eq20,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_data\FeynmanICh6Eq20\FeynmanICh6Eq20_sample_size100_noise_level0_repetition9.csv,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_results\individual\FeynmanICh6Eq20_sample_size100_noise_level0_repetition9_d4_i2_l1_a0.csv,0.13758243013361726 + -0.056044861738011854 * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.054892038121801455 * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.04428842081065223 * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + 0.02174679943305061 * (((x1 * 0.20202020202020202) -1.02020202020202)**4) + 0.00174542316684682 * ((x0 * 0.1) +0) + -0.0014575175469719263 * ((x0 * 0.1) +0) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.008087993883148358 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.003901709436398284 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + -0.16012134972602196 * (((x0 * 0.1) +0)**2) + 0.2383501246403378 * (((x0 * 0.1) +0)**2) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.36111457998109586 * (((x0 * 0.1) +0)**2) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + 0.0019014150746060109 * (((x0 * 0.1) +0)**3) + 0.005113106405260764 * (((x0 * 0.1) +0)**3) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.011285184046959551 * (((x0 * 0.1) +0)**4),4,1,0,2,187,True,0.27208619071600587,0.087146503212832,0.08752647047818232
FeynmanICh6Eq20,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_data\FeynmanICh6Eq20\FeynmanICh6Eq20_sample_size100_noise_level0_repetition6.csv,D:\src\NIPS-Benchmarks\experiments\repeated_best_config_results\individual\FeynmanICh6Eq20_sample_size100_noise_level0_repetition6_d4_i2_l1_a0.csv,0.10982780028206922 + -0.041142825532169594 * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.05099490279688994 * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.04661004864940986 * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + 0.04137276177658332 * (((x1 * 0.20202020202020202) -1.02020202020202)**4) + 0.0013832380322766227 * ((x0 * 0.1) +0) + -0.001981788662263819 * ((x0 * 0.1) +0) * ((x1 * 0.20202020202020202) -1.02020202020202) + 0.005070036622601881 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.0009951717754167195 * ((x0 * 0.1) +0) * (((x1 * 0.20202020202020202) -1.02020202020202)**3) + -0.09675027383223955 * (((x0 * 0.1) +0)**2) + 0.14524463759818115 * (((x0 * 0.1) +0)**2) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.228987805206826 * (((x0 * 0.1) +0)**2) * (((x1 * 0.20202020202020202) -1.02020202020202)**2) + -0.008337234829856911 * (((x0 * 0.1) +0)**3) + 0.026644966812378823 * (((x0 * 0.1) +0)**3) * ((x1 * 0.20202020202020202) -1.02020202020202) + -0.021604943415096504 * (((x0 * 0.1) +0)**4),4,1,0,2,209,True,0.2405717422000282,0.07014917510102767,0.07052522756274539
